duration_minutes,duration_seasons,type,title,date_added,release_year,rating,description,show_id
90,,Movie,Norm of the North: King Sized Adventure,09-09-2019,2019,TV-PG,"Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first.",81145628
94,,Movie,Jandino: Whatever it Takes,09-09-2016,2016,TV-MA,"Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""Sex on Fire"" in his comedy show.",80117401
99,,Movie,#realityhigh,08-09-2017,2017,TV-14,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",80125979
110,,Movie,Automata,08-09-2017,2014,R,"In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy.",70304989
60,,Movie,Fabrizio Copano: Solo pienso en mi,08-09-2017,2017,TV-MA,"Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family WhatsApp groups and more.",80164077
90,,Movie,Good People,08-09-2017,2014,R,A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.,70304990
78,,Movie,Joaquín Reyes: Una y no más,08-09-2017,2017,TV-MA,"Comedian and celebrity impersonator Joaquín Reyes decides to be his zesty self for a night of stories about buses, bathroom habits, royalty and more.",80169755
95,,Movie,Kidnapping Mr. Heineken,08-09-2017,2015,R,"When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history.",70299204
58,,Movie,Krish Trish and Baltiboy,08-09-2017,2009,TV-Y7,"A team of minstrels, including a monkey, cat and donkey, narrate folktales from the Indian regions of Rajasthan, Kerala and Punjab.",80182480
62,,Movie,Krish Trish and Baltiboy: Battle of Wits,08-09-2017,2013,TV-Y7,"An artisan is cheated of his payment, a lion of his throne and a brother of his inheritance in these three stories of deception and justice.",80182483
65,,Movie,Krish Trish and Baltiboy: Best Friends Forever,08-09-2017,2016,TV-Y,"A cat, monkey and donkey team up to narrate folktales about friendship from Northeast India, and the Indian regions of Bihar and Rajasthan.",80182596
61,,Movie,Krish Trish and Baltiboy: Comics of India,08-09-2017,2012,TV-Y7,"In three comic-strip-style tales, a boy tries to sell wisdom, a demon is released from captivity, and a king assigns impossible tasks to his minister.",80182482
65,,Movie,Krish Trish and Baltiboy: Oversmartness Never Pays,08-09-2017,2017,TV-Y7,"A cat, monkey and donkey learn the consequences of cheating through stories from the Indian regions of Rajasthan, West Bengal and Maharashtra.",80182597
58,,Movie,Krish Trish and Baltiboy: Part II,08-09-2017,2010,TV-Y7,"Animal minstrels narrate stories about a monkey's friendship with a crocodile, two monkeys' foolishness and a villager's encounter with a demon.",80182481
60,,Movie,Krish Trish and Baltiboy: The Greatest Trick,08-09-2017,2013,TV-Y7,"The consequences of trickery are explored in stories involving an inconsiderate husband, two greedy courtiers, and a kind man who loses everything.",80182621
135,,Movie,Love,08-09-2017,2015,NR,A man in an unsatisfying marriage recalls the details of an intense past relationship with an ex-girlfriend when he gets word that she may be missing.,80057969
98,,Movie,Manhattan Romance,08-09-2017,2014,TV-14,A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects.,80060297
96,,Movie,Moonwalkers,08-09-2017,2015,R,"A brain-addled war vet, a failing band manager and a Stanley Kubrick impersonator help the CIA construct an epic scam by faking the 1969 moon landing.",80046728
79,,Movie,Rolling Papers,08-09-2017,2015,TV-MA,"As the newspaper industry takes a hit, The Denver Post breaks new ground with a section dedicated to cannabis culture.",80046727
113,,Movie,Stonehearst Asylum,08-09-2017,2014,PG-13,"In 1899, a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor's methods while falling for a female patient.",70304988
90,,Movie,The Runner,08-09-2017,2015,R,A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.,80057700
80,,Movie,6 Years,08-09-2015,2015,NR,"As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future.",80045922
77,,Movie,City of Joy,07-09-2018,2018,TV-MA,"Women who've been sexually brutalized in war-torn Congo begin to heal at City of Joy, a center that helps them regain a sense of self and empowerment.",80203094
112,,Movie,Laddaland,07-09-2018,2011,TV-MA,"When a family moves into an upscale housing development, they encounter a series of paranormal events that drive them to the edge of insanity.",70241607
